611.801000	611.801000	B
639.192000	639.192000	B
660.612000	660.612000	B
681.861000	681.861000	B
706.358000	706.358000	B
731.529000	731.529000	B
752.983000	752.983000	B
753.111000	753.111000	B
776.111000	776.111000	B
776.334000	776.334000	B
801.155000	801.155000	B
821.762000	821.762000	B
821.889000	821.889000	B
845.144000	845.144000	B
845.274000	845.274000	B
868.831000	868.831000	B
892.072000	892.072000	B
892.213000	892.213000	B
916.443000	916.443000	B
939.011000	939.011000	B
939.141000	939.141000	B
962.350000	962.350000	B
987.683000	987.683000	B
1012.356000	1012.356000	B
1036.539000	1036.539000	B
1036.667000	1036.667000	B
1061.373000	1061.373000	B
1061.503000	1061.503000	B
1086.082000	1086.082000	B
1108.557000	1108.557000	B
1108.697000	1108.697000	B
1131.824000	1131.824000	B
1153.534000	1153.534000	B
1153.663000	1153.663000	B
1176.313000	1176.313000	B
1176.452000	1176.452000	B
1199.402000	1199.402000	B
1221.443000	1221.443000	B
1221.585000	1221.585000	B
1243.257000	1243.257000	B
1266.897000	1266.897000	B
1289.454000	1289.454000	B
1289.596000	1289.596000	B
1310.619000	1310.619000	B
1310.761000	1310.761000	B
1336.650000	1336.650000	B
1336.778000	1336.778000	B
1361.868000	1361.868000	B
1384.403000	1384.403000	B
1407.134000	1407.134000	B
1407.264000	1407.264000	B
1430.645000	1430.645000	B
1454.488000	1454.488000	B
1454.627000	1454.627000	B
1478.213000	1478.213000	B
1478.342000	1478.342000	B
1501.468000	1501.468000	B
1521.520000	1521.520000	B
1543.067000	1543.067000	B
1543.196000	1543.196000	B
1566.658000	1566.658000	B
1591.875000	1591.875000	B
1592.004000	1592.004000	B
1615.212000	1615.212000	B
1637.749000	1637.749000	B
